rhoc,Tc,R,M,L,Tsurf,StarNum
403.39261684417727,1000000.0,8170817173.537353,1.5443873918087555e+32,4.4318015063216315e+28,982.4582365242867,0
122.93278942108154,2000000.0,12961296216.651665,1.871465967036592e+32,2.61747637391708e+29,1216.041072714561,1
62.527083778381346,3000000.0,18991899270.927094,2.9951298210106734e+32,1.0784096510575051e+30,1431.243448238543,2
37.20316066741943,4000000.0,26532653338.793877,4.856071638739177e+32,3.287713630918023e+30,1600.0550447955654,3
42.593906211853025,5000000.0,38913891450.22502,7.765586313938142e+32,1.4582154467165904e+31,1917.3652909717907,4
50.6209321975708,6000000.0,41824182476.41763,9.359700596844905e+32,4.269737287337049e+31,2419.2922123434823,5
58.56789760589599,7000000.0,100000000000.0,1.1308949105470258e+33,1.0594552915983465e+32,1963.6877364229579,6
66.44814586639404,8000000.0,41624162474.617455,1.2347296713186056e+33,2.3274730453866413e+32,3705.5286909159104,7
74.2654893875122,9000000.0,42234223480.10801,1.382076049744278e+33,4.663105848046257e+32,4376.614862736866,8
82.02755298614503,10000000.0,43994399495.94959,1.5402654789965102e+33,8.684382426050349e+32,5009.424173232416,9
89.73243045806885,11000000.0,100000000000.0,1.7487573913475053e+33,1.5245618617709916e+33,3824.6177133922306,10
97.36105976104736,12000000.0,100000000000.0,1.9167168865975996e+33,2.548273282863551e+33,4348.738261827332,11
104.83528652191163,13000000.0,47824782530.42304,2.0074674737768237e+33,4.0858247149268055e+33,7076.120176875901,12
111.90730419158936,14000000.0,100000000000.0,2.234540908138814e+33,6.320438759263293e+33,5457.435055021034,13
117.93662815093994,15000000.0,100000000000.0,2.36951065122024e+33,9.457095905221503e+33,6035.888625986075,14
121.57557201385498,16000000.0,100000000000.0,2.5258082759224868e+33,1.3703490558682412e+34,6622.31097055118,15
120.90077571868896,17000000.0,100000000000.0,2.694985926375149e+33,1.9375465980608917e+34,7221.290367579399,16
114.77614154815674,18000000.0,49834983548.51485,2.8235813166753674e+33,2.880720496819537e+34,11295.61523090549,17
101.58139591217041,19000000.0,50215021551.93519,3.104940378249519e+33,4.700734210787543e+34,12718.220978303942,18
84.66573963165283,20000000.0,100000000000.0,3.607004550954901e+33,8.67925731325928e+34,10505.63747612565,19
