r/R,rho(r),L(r),M(r),T(r),Pgas,Pdeg,Ppho,P,dlogP/dlogT,kappa,kappaff,kappaHm,kappaes,dL/dr,dLpp/dr,dLcno/dr
1e-09,19.711830711364748,0.0,0.0,37000000.0,997883770753518.6,14269099920982.244,47260364109406.28,1059413234783907.0,2.1174204888228068,0.346,0.005257737453206667,1.4425105749605117e+38,0.346,103651231722280.08,521795320.0527764,103650709926960.05
0.00010001100090009001,19.71183013315421,3.456180680706667e+30,8.259597516827105e+22,36999999.24135488,997883721021891.2,14269099223385.633,47260360233315.09,1059413180478591.9,2.117420488372664,0.346,0.00525773772256323,1.4425102876097108e+38,0.346,1.0367398972964145e+24,5.219100573078255e+18,1.0367346781958414e+24
0.00020002100180018,19.711828398314694,2.764905020181028e+31,6.607579196294996e+23,36999996.96514669,997883571809132.2,14269097130345.03,47260348603649.0,1059413017543126.2,2.1174204870220743,0.346,0.005257738530729904,1.4425094254542753e+38,0.346,4.1469123175527646e+24,2.087618474000435e+19,4.146891441368025e+24
0.00030003100270027005,19.711825506847294,9.33152746438395e+31,2.2300471233106601e+24,36999993.17137671,997883323115353.9,14269093641862.014,47260329220418.86,1059412745977634.6,2.117420484771037,0.346,0.005257739877706582,1.4425079884956174e+38,0.346,9.33049984040657e+24,4.69712260653986e+19,9.330452869180506e+24
0.00040004100360036,19.711821458751977,2.2119099122324987e+32,5.286024086493839e+24,36999987.86004477,997882974940585.2,14269088757936.945,47260302083630.91,1059412365782153.2,2.117420481619553,0.346,0.005257741763493903,1.4425059767352095e+38,0.346,1.6587473431570862e+25,8.350418048901307e+19,1.6587389927390371e+25
0.00050005100450045,19.711816254028776,4.3201171475475336e+32,1.0324248374321077e+25,36999981.03115073,997882527284875.2,14269082478570.447,47260267193294.5,1059411876956740.0,2.117420477567621,0.346,0.005257744188092709,1.4425033901751544e+38,0.346,2.591779244313065e+25,1.304749863263297e+20,2.5917661968144318e+25
0.0006000610054005401,19.711809892678044,7.465123721678949e+32,1.7840278667806873e+25,36999972.68469477,997881980148311.2,14269074803763.682,47260224549423.41,1059411279501498.2,2.117420472615241,0.346,0.0052577471515039675,1.4425002288182922e+38,0.346,3.7321404613819964e+25,1.8788356426867923e+20,3.73212167302557e+25
0.0007000710063006301,19.711802374700447,1.1854273025070511e+33,2.8329672763838166e+25,36999962.82067743,997881333531021.0,14269065733518.342,47260174152036.16,1059410573416575.6,2.117420466762411,0.346,0.0052577506537287485,1.4424964926682152e+38,0.346,5.079824606938481e+25,2.5572981738340234e+20,5.079799033956743e+25
0.0008000810072007201,19.711793700096976,1.7694902569314322e+33,4.2287987575174395e+25,36999951.439099565,997880587433170.9,14269055267836.695,47260116001155.69,1059409758702163.0,2.1174204600091335,0.346,0.0052577546947682454,1.44249218172925e+38,0.346,6.634824132302772e+25,3.340136311140509e+20,6.634790730939662e+25
0.00090009100810081,19.71178386886893,2.51943439871508e+33,6.021077913044738e+25,36999938.53996237,997879741854967.5,14269043406721.54,47260050096809.6,1059408835358498.6,2.1174204523554057,0.346,0.00525775927462376,1.4424872960064714e+38,0.346,8.397130327593843e+25,4.2273487328063206e+20,8.397088054106517e+25
0.0010001010090009,19.711772881017925,3.455992303246871e+33,8.259360257416151e+25,36999924.12326739,997878796796656.2,14269030150176.21,47259976439030.07,1059407803385862.5,2.117420443801229,0.346,0.0052577643932967015,1.4424818355056968e+38,0.346,1.036673332179091e+26,5.218933940798943e+20,1.0366681132451501e+26
0.00110011100990099,19.711760736545898,4.5998959580305126e+33,1.0993201216669356e+26,36999908.18901647,997877752258522.2,14269015498204.604,47259895027853.75,1059406662784580.6,2.117420434346603,0.346,0.005257770050788608,1.442475800233483e+38,0.346,1.254362208280292e+26,6.314890260856502e+20,1.2543558933900314e+26
0.0012001210108010803,19.71174743545751,5.971875938120672e+33,1.427215596005449e+26,36999890.73721478,997876608241092.2,14268999450814.066,47259805863337.125,1059405413555243.5,2.117420423991531,0.346,0.005257776247100091,1.4424691901982627e+38,0.346,1.4927784417574759e+26,7.515215842495754e+20,1.4927709265416334e+26
0.0013001310117011701,19.711732977761663,7.592662032656367e+33,1.8145779468405428e+26,36999871.76787268,997875364745261.6,14268982008017.213,47259708945566.0,1059404055698844.9,2.1174204127360166,0.346,0.005257782982230198,1.442462005411058e+38,0.346,1.751920697221766e+26,8.819908659022945e+20,1.751911877313107e+26
0.00140014101260126,19.71171736345927,9.482986156754658e+33,2.2663627194091067e+26,36999851.280990675,997874021771270.6,14268963169817.203,47259604274578.72,1059402589215666.6,2.11742040058006,0.346,0.005257790256181608,1.4424542458797545e+38,0.346,2.0317875231961137e+26,1.0228966507516174e+21,2.0317772942296063e+26
