rhoc,Tc,R,M,L,Tsurf,StarNum
47.81770996451378,3000000.0,20934759347.593475,3.8268994829209674e+32,1.2807239665828582e+30,1423.0895663313322,0
31.434673950076103,3916666.6666666665,27785502855.028553,5.655125191281061e+32,3.3856925182274765e+30,1575.0872158301204,1
32.86982540123281,4833333.333333333,38670186701.86701,8.491348605483482e+32,1.1712223796423507e+31,1820.8459463512818,2
38.72184764529049,5750000.0,47398798987.989876,1.0399404057587526e+33,3.269148973510886e+31,2126.052578667766,3
44.52415067322874,6666666.666666666,53658361583.61584,1.2071314039899777e+33,7.82318562122951e+31,2460.7388187354295,4
50.2774204797038,7583333.333333333,60717757177.57178,1.370372255039744e+33,1.6732372999781957e+32,2876.5257245440503,5
55.98741125404449,8500000.0,128390583905.83907,1.5323080610171875e+33,3.281803108887707e+32,401154.7857869792,6
61.65834718653384,9416666.666666666,214320468204.68204,1.6941086913111262e+33,6.008396003131259e+32,550094.2198051875,7
67.29217092167208,10333333.333333332,65273327733.277336,1.855844874691386e+33,1.0400447026626664e+33,3022.6973219508845,8
72.88528667582754,11250000.0,64682146821.46821,2.0176526637651408e+33,1.7184122763455154e+33,2840.6373190763256,9
78.41818753359715,12166666.666666666,3147447174471.7446,2.179716656930939e+33,2.729836874337499e+33,859886.4917559294,10
83.82700211775769,13083333.333333332,65725407254.07253,2.3416288397085673e+33,4.192962599012027e+33,2529.5467777050153,11
88.93494003887771,14000000.0,69411594115.94116,2.5041092404820857e+33,6.254452137066992e+33,2993.907206876457,12
93.31610460118358,14916666.666666666,284149366493.6649,2.667692837708287e+33,9.093984329441695e+33,862145.1152979422,13
96.12052571245603,15833333.333333332,67498949989.49989,2.834814976535464e+33,1.295717239701019e+34,2320.3227669983917,14
96.09715884716859,16750000.0,490158526585.2658,3.015501280952939e+33,1.8379541402623005e+34,984548.3145574047,15
92.24770363354448,17666666.666666664,72158846588.46588,3.233734892820071e+33,2.6942382173745866e+34,2381.1597013905457,16
85.23863646971688,18583333.333333332,73897613976.13976,3.520960756406962e+33,4.24657587052734e+34,2138.501453253662,17
75.51862925628369,19500000.0,2774829323293.233,3.904229395085358e+33,7.312060284667051e+34,1214557.0841617503,18
63.59042414149656,20416666.666666664,89268317683.17683,4.397325607606664e+33,1.3376458749820604e+35,2194.4943083413373,19
51.051037507529635,21333333.333333332,913583160831.6082,5.0247856757362113e+33,2.525971884688037e+35,1186401.9004319303,20
39.54245855146991,22250000.0,112254822548.22548,5.8192419617119e+33,4.801281848319631e+35,3999.7938499157876,21
29.95268269578862,23166666.666666664,127034345343.45343,6.826289345863179e+33,9.060658902526659e+35,5223.047554535316,22
22.443132407396348,24083333.333333332,143031005310.0531,8.099052030775738e+33,1.6892848716224686e+36,5076.924515213695,23
16.764325970297783,25000000.0,159479744797.44797,9.695974854787836e+33,3.1086811039033076e+36,5315.213868131359,24
